127.0.0.1 - - [08/Jul/2024:15:05:37 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:05:38 +0900] "GET /lotto/menu HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:05:41 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:05:43 +0900] "GET /lotto/gen-manual? HTTP/1.1" 200 577
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:33:15 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:33:16 +0900] "GET /lotto/menu HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:33:18 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:33:23 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:36:17 +0900] "POST /lotto/gen-manual HTTP/1.1" 500 1453
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:36:19 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:36:23 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Jul/2024:15:36:33 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:10:32 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 660
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:10:57 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 671
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:11:09 +0900] "GET /lotto/menu HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:11:10 +0900] "GET /lotto/gen-auto HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:11:12 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:11:38 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:12:02 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:14 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:22 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:26 +0900] "GET /lotto/menu HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:27 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:29 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:36 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:37 +0900] "GET /lotto/menu HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:38 +0900] "GET /lotto/gen-manual HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [08/Jul/2024:17:13:43 +0900] "POST /lotto/gen-manual HTTP/1.1" 200 672
